,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
243,Peniche,75,PT,1566598316,100,39.36,-9.38,73.4,5.82
244,Merrill,1,US,1566598316,24,42.03,-121.6,87.01,3.36
245,Valparaiso,40,US,1566598317,49,41.47,-87.06,75.2,9.17
246,Honningsvag,75,NO,1566598317,93,70.98,25.97,46.4,3.36
247,Baruun-Urt,100,MN,1566598317,78,46.68,113.28,54.61,1.97
248,Vila do Maio,75,CV,1566598317,83,15.13,-23.22,75.2,8.05
249,Pacifica,20,US,1566598318,57,37.61,-122.49,82.99,16.11
250,Cartago,40,CR,1566598319,51,9.86,-83.92,82.4,18.34
251,Chokurdakh,38,RU,1566598319,60,70.62,147.9,53.53,3.89
252,Starobaltachevo,88,RU,1566598319,86,56.0,55.92,54.25,6.31
253,Tasiilaq,100,GL,1566598320,75,65.61,-37.64,42.8,4.7
254,Jatai,0,IN,1566598320,59,28.97,76.18,85.57,4.65
255,Taman,0,RU,1566598320,54,45.22,36.72,78.8,11.18
256,Balod,47,IN,1566598320,89,20.73,81.21,76.03,5.95
257,Oussouye,40,SN,1566598320,83,12.49,-16.54,80.6,9.17
258,Malanje,46,AO,1566598321,27,-9.54,16.35,67.75,4.63
259,Moreira Sales,0,BR,1566598321,50,-24.05,-53.01,70.45,6.38
260,Santa Marta,75,CO,1566598249,70,11.24,-74.21,89.6,11.41
261,Sibu,75,MY,1566598321,94,2.29,111.83,75.2,2.48
262,Dunedin,33,NZ,1566598322,54,-45.87,170.5,51.01,10.0
263,Sao Caetano de Odivelas,5,BR,1566598322,78,-0.75,-48.02,81.79,21.77
264,Georgetown,20,GY,1566598038,70,6.8,-58.16,86.0,9.17
265,Hervey Bay,90,AU,1566598323,82,-25.3,152.85,62.01,6.93
266,Balkanabat,0,TM,1566598323,14,39.51,54.36,93.31,12.8
267,Senno,99,RU,1566598323,63,57.76,27.95,64.4,11.18
268,Waddan,0,LY,1566598323,53,29.16,16.14,78.01,9.17
269,Belaya Gora,24,RU,1566598323,46,68.54,146.19,61.45,2.01
270,Kieta,73,PG,1566598324,80,-6.22,155.63,79.81,5.14
271,Saint-Francois,0,FR,1566598324,82,46.42,3.91,62.6,4.21
272,Manta,73,RO,1566598324,49,45.1,24.1,75.13,7.05
273,Suntar,0,RU,1566598324,96,62.16,117.65,48.67,2.39
274,Panama City,40,US,1566598121,70,30.16,-85.65,87.8,10.29
275,Lagos,40,NG,1566598325,88,6.46,3.39,77.0,4.7
276,Shebalino,100,RU,1566598325,95,51.29,85.68,45.43,5.88
277,Markova,0,RU,1566598325,100,52.21,104.21,57.2,6.71
278,Kahului,40,US,1566598325,62,20.89,-156.47,87.8,25.28
279,Zaysan,33,KZ,1566598326,67,47.47,84.87,49.39,4.72
280,Progreso,0,UY,1566598326,54,-34.68,-56.22,57.2,5.82
281,Pokaran,0,IN,1566598326,50,26.93,71.92,87.55,20.09
282,Kurilsk,99,RU,1566598327,89,45.23,147.88,57.49,26.93
283,Ajdabiya,0,LY,1566598327,78,30.75,20.22,79.63,17.72
284,Airai,40,TL,1566598327,86,-8.93,125.41,68.29,3.58
285,Grand Gaube,40,MU,1566598327,93,-20.01,57.66,66.99,2.24
286,Neuquen,0,AR,1566598296,62,-38.95,-68.06,55.4,2.37
287,Pimenteiras,29,BR,1566598328,34,-6.24,-41.42,82.51,5.88
288,Mogapinyana,0,BW,1566598328,43,-22.37,27.59,55.33,4.12
289,Cacequi,0,BR,1566598328,69,-29.88,-54.83,57.49,5.5
290,Batagay-Alyta,66,RU,1566598328,88,67.8,130.41,47.23,1.05
291,Talcahuano,0,CL,1566598328,71,-36.72,-73.12,55.4,2.24
292,Auki,90,NG,1566598329,88,12.18,6.51,74.05,8.61
293,Rawson,100,AR,1566598329,43,-43.3,-65.11,60.73,21.5
294,Oneonta,100,US,1566598329,63,42.45,-75.06,71.01,4.0
295,Nouadhibou,33,MR,1566598330,83,20.93,-17.03,71.6,8.05
296,Birin,100,NP,1566598330,99,26.89,88.07,63.43,1.9
297,Talnakh,96,RU,1566598330,93,69.49,88.39,53.6,8.95
298,Sioux Lookout,40,CA,1566598330,46,50.1,-91.92,71.6,4.7
299,Miri,61,NG,1566598330,91,10.31,9.75,70.27,2.19
300,Tashtagol,74,RU,1566598331,99,52.76,87.85,50.47,6.33
301,Hualmay,0,PE,1566598043,90,-11.1,-77.61,59.29,10.83
302,Yaan,100,NG,1566598331,95,7.38,8.57,71.35,6.42
303,Tsubata,75,JP,1566598332,83,36.67,136.73,75.0,5.82
304,Francistown,0,BW,1566598332,34,-21.17,27.5,54.43,8.25
305,Wajid,100,SO,1566598333,61,3.81,43.25,79.63,23.22
306,Nioro,69,GM,1566598333,79,13.79,-15.05,78.91,11.23
307,Wanning,100,AT,1566598334,77,48.64,13.53,68.0,3.36
308,Namibe,86,AO,1566598335,88,-15.19,12.15,67.39,4.07
309,Lahij,10,YE,1566598335,42,13.06,44.88,91.69,4.5
310,Ulladulla,0,AU,1566598335,40,-35.36,150.48,55.99,17.22
311,Viedma,100,AR,1566598335,43,-40.81,-62.99,59.47,15.03
312,Sevierville,40,US,1566598336,73,35.87,-83.56,82.0,4.7
313,Marawi,100,PH,1566598336,83,8.0,124.29,73.99,5.01
314,Siavonga,0,ZW,1566598336,51,-16.54,28.71,66.13,4.23
315,Caravelas,52,BR,1566598336,71,-17.73,-39.27,72.07,8.9
316,New Baclayon,75,PH,1566598336,88,6.58,125.37,77.0,1.14
317,San Cristobal,0,HN,1566598337,28,14.68,-86.92,88.45,10.51
318,Husavik,49,CA,1566598337,30,50.56,-96.99,80.01,8.01
319,Gasa,100,BT,1566598337,89,27.91,89.73,40.75,5.08
320,Samarai,88,PG,1566598059,90,-10.62,150.67,70.09,6.85
321,Hami,0,CN,1566598337,23,42.84,93.51,77.47,14.65
322,Aksha,10,RU,1566598338,92,50.28,113.29,47.23,0.51
323,Sudak,0,UA,1566598338,57,44.85,34.97,70.45,2.51
324,Zhigansk,39,RU,1566598325,95,66.77,123.37,50.11,3.83
325,Havre,1,US,1566598338,38,48.55,-109.68,77.0,4.7
326,Gizo,40,IL,1566598339,78,31.8,34.94,82.4,5.82
327,Cabo San Lucas,90,MX,1566598339,83,22.89,-109.91,84.99,5.82
328,Coihaique,90,CL,1566598339,71,-45.58,-72.07,50.0,6.93
329,Almeirim,0,BR,1566598339,48,-1.53,-52.58,88.09,3.36
330,Penzance,39,GB,1566598339,93,50.12,-5.53,63.0,19.46
331,Gat,20,SN,1566598340,83,14.69,-16.54,80.6,6.93
332,Yenagoa,100,NG,1566598340,94,4.92,6.26,73.15,5.7
333,Fortuna,20,US,1566598340,68,40.6,-124.16,66.2,16.11
334,Sokoni,63,CD,1566598340,48,-12.89,28.78,61.0,5.99
335,Anlu,0,CN,1566598340,75,31.26,113.68,74.05,5.17
336,Mahibadhoo,100,MV,1566598341,76,3.78,72.97,82.15,9.33
337,Kawalu,50,ID,1566598341,91,-7.38,108.21,64.51,3.47
338,Cidreira,24,BR,1566598341,73,-30.17,-50.22,55.15,7.63
339,Bafra,75,TR,1566598341,83,41.57,35.91,75.2,19.46
340,Hovd,75,NO,1566598341,93,63.83,10.7,59.0,5.82
341,Ternate,40,PH,1566598342,83,14.29,120.72,81.0,14.0
342,Sao Miguel do Araguaia,96,BR,1566598258,19,-13.28,-50.16,92.59,4.38
343,Cap Malheureux,40,MU,1566598342,93,-19.98,57.61,66.99,2.24
344,Demirci,0,TR,1566598342,10,39.05,28.66,72.0,58.0
345,Jonesboro,1,US,1566598343,70,35.84,-90.7,84.2,8.05
346,Dorado,40,PR,1566598074,62,18.46,-66.27,89.6,14.99
347,Chapais,90,CA,1566598343,72,49.78,-74.86,59.0,12.75
348,Tessalit,93,ML,1566598343,41,20.2,1.01,89.53,15.48
349,Unnao,75,IN,1566598343,94,26.54,80.49,82.4,11.41
350,Lima,75,PE,1566598149,77,-12.06,-77.04,64.4,6.93
351,Candido Mendes,0,BR,1566598344,92,-1.45,-45.72,76.39,3.51
352,Bamnet Narong,100,TH,1566598344,97,15.5,101.69,72.61,6.58
353,Parthenay,0,FR,1566598344,45,46.65,-0.25,72.0,2.24
354,Goderich,0,CA,1566598293,68,43.74,-81.71,69.01,1.99
355,Ambatofinandrahana,9,MG,1566598344,81,-20.55,46.8,56.23,4.43
356,Aranos,0,NA,1566598344,21,-24.14,19.11,58.21,8.66
357,Gull Lake,75,CA,1566598345,64,50.1,-108.48,68.0,6.93
358,Petropavlovsk-Kamchatskiy,90,RU,1566598345,100,53.05,158.65,51.8,4.47
359,Ginir,0,ET,1566598345,82,7.14,40.71,58.75,5.26
360,Algonquin,1,US,1566598169,49,42.17,-88.29,75.2,12.75
361,Kang,0,BW,1566598346,29,-23.67,22.79,53.53,3.42
362,Petauke,11,ZM,1566598346,52,-14.25,31.33,63.07,10.13
363,General Pico,100,AR,1566598346,47,-35.66,-63.75,65.05,11.74
364,Avera,40,US,1566598346,83,33.19,-82.53,93.99,4.7
365,Fairbanks,75,US,1566598202,76,64.84,-147.72,55.99,4.7
366,Igarka,94,RU,1566598346,80,67.47,86.57,54.61,9.19
367,Codrington,0,AU,1566598347,93,-28.95,153.24,55.99,6.93
368,Omboue,100,GA,1566598347,87,-1.57,9.26,75.49,13.91
369,Arraial do Cabo,40,BR,1566598347,72,-22.97,-42.02,68.0,10.29
370,Alyangula,30,AU,1566598347,93,-13.85,136.42,53.6,3.36
371,Kuala Terengganu,75,MY,1566598348,94,5.33,103.14,78.8,4.7
372,Sao Felix do Xingu,100,BR,1566598348,56,-6.64,-51.99,82.33,2.98
373,Outlook,35,CA,1566598348,42,51.48,-107.04,73.0,4.0
374,Bukachacha,42,RU,1566598348,94,52.99,116.91,47.77,0.67
375,Isangel,20,VU,1566598349,70,-19.55,169.27,69.01,21.99
